id,birthday,deathday,imdb_id,name,place_of_birth,photo_url,gender
578,1937-11-30,,nm0000631,Ridley Scott,"South Shields, County Durham, England, UK",https://image.tmdb.org/t/p/original/zABJmN9opmqD4orWl3KSdCaSo7Q.jpg,Male
589985,,,nm0003628,Kay Fenton,,https://image.tmdb.org/t/p/originalNone,Not Specified
2691339,,,,Paul Ibbetson,,https://image.tmdb.org/t/p/originalNone,Not Specified
2835414,,,,Raymond Becket,"Northumberland, England, United Kingdom",https://image.tmdb.org/t/p/originalNone,Not Specified
58868,,,nm0003474,Troy Miller,,https://image.tmdb.org/t/p/originalNone,Male
1220694,,,nm0403804,Mitchell Hurwitz,,https://image.tmdb.org/t/p/original/uJXAEC6DZXpzuSwwyC496hvt4zR.jpg,Male
19272,1971-07-18,,nm0751648,Joe Russo,"Cleveland, Ohio, USA",https://image.tmdb.org/t/p/original/679Os4tbY1YsU01KdLhM1NPXNWu.jpg,Male
116805,1962-09-17,,nm0270552,Paul Feig,"Royal Oak, Michigan, USA",https://image.tmdb.org/t/p/original/lcD0BkGKWKynUwtPSEDLAsFdIJX.jpg,Male
19271,1970-02-03,,nm0751577,Anthony Russo,"Cleveland, Ohio, USA",https://image.tmdb.org/t/p/original/fIa5wXK7MHAquhefTr3TcnZiYy8.jpg,Male
1212922,1943-06-15,,nm0155117,Lee Shallat Chemel,,https://image.tmdb.org/t/p/original/skivbU829we6nJpIq2I7I3qlz9l.jpg,Female
52049,1968-04-09,,nm0151540,Jay Chandrasekhar,Chicago - Illinois - USA,https://image.tmdb.org/t/p/original/gkY7ObdU0PMNW6sOFLb3At7SSsT.jpg,Male
168442,,,nm0490792,Peter Lauer,,https://image.tmdb.org/t/p/originalNone,Male
84843,,,nm0075669,Robert Berlinger,,https://image.tmdb.org/t/p/originalNone,Male
54733,1964-07-11,,nm0609549,Greg Mottola,"Dix Hills, Long Island, New York, USA",https://image.tmdb.org/t/p/original/rOqb8XTxORYHzDVTK8jqDI2wIDh.jpg,Male
107658,,,nm0002973,Lev L. Spiro,,https://image.tmdb.org/t/p/originalNone,Male
58316,,,nm0287198,John Fortenberry,Jackson - Mississippi - USA,https://image.tmdb.org/t/p/originalNone,Male
41549,1963-03-14,,nm0281598,Andrew Fleming,USA,https://image.tmdb.org/t/p/original/fgqJC8aCiH00Y1g3cfzYpBUBCD3.jpg,Male
15042,,,nm0762541,Arlene Sanford,USA,https://image.tmdb.org/t/p/original/dHPhsNnybFnfNsWXYVPZkrZC4OF.jpg,Female
23532,1969-01-14,,nm0000867,Jason Bateman,"Rye, New York, USA",https://image.tmdb.org/t/p/original/8e6mt0vGjPo6eW52gqRuXy5YnfN.jpg,Male
6884,1971-07-24,,nm0420941,Patty Jenkins,"Victorville, California, USA",https://image.tmdb.org/t/p/original/9zdvRFn2iapRqG6OzrE7E92ByHw.jpg,Female
1212911,,,nm0578162,Jeff Melman,,https://image.tmdb.org/t/p/originalNone,Male
56591,,,nm0500444,Danny Leiner,,https://image.tmdb.org/t/p/originalNone,Male
1212907,,,nm0025127,John Amodeo,,https://image.tmdb.org/t/p/originalNone,Male
1450350,,,nm2012396,Heiko Drengenberg,,https://image.tmdb.org/t/p/originalNone,Not Specified
515867,1974-07-31,,nm2083477,Giancarlo Volpe,"Tacoma, Washington, U.S.A",https://image.tmdb.org/t/p/original/2tFWObLUHwN4G7WfARkuJGFa8Pm.jpg,Male
204553,,,nm2320725,Ethan Spaulding,,https://image.tmdb.org/t/p/original/pUIaHF2enwtacdArUOysvYjmqaW.jpg,Male
1214800,1964-04-30,,nm0534041,Lauren MacMullan,"Boston, Massachusetts, USA",https://image.tmdb.org/t/p/original/1K55bVLf94SdhCvrti5QW0GRMr0.jpg,Female
71538,1974-06-07,,nm1396048,Dave Filoni,"Mt. Lebanon, Pennsylvania, United States",https://image.tmdb.org/t/p/original/iMpXDe7D3eimy3Y8esJcF9czVbm.jpg,Male
89596,,,nm1690966,Joaquim Dos Santos,,https://image.tmdb.org/t/p/original/zkLabHFhfW0oJQ22vquFbSaLsWp.jpg,Male
1214801,,,nm0513307,Anthony Lioi,,https://image.tmdb.org/t/p/originalNone,Male
1636081,,,,Kenji Ono,,https://image.tmdb.org/t/p/originalNone,Not Specified
1190517,1974-07-18,,nm0227204,Michael Dante DiMartino,  United States,https://image.tmdb.org/t/p/original/8ey06cRWYe5TlKl5tyYQf57kknw.jpg,Male
1412808,,,nm6177345,Chris Graham,,https://image.tmdb.org/t/p/originalNone,Not Specified
1376396,,,,Ryan Mottesheard,,https://image.tmdb.org/t/p/originalNone,Not Specified
28741,1963-03-01,,nm0753382,Michael Rymer,"	Melbourne, Australia",https://image.tmdb.org/t/p/originalNone,Male
1220833,1962-05-13,,nm1074029,Wayne Rose,,https://image.tmdb.org/t/p/originalNone,Male
44481,1955-12-26,,nm0002749,Michael Nankin,Hollywood - California - USA,https://image.tmdb.org/t/p/originalNone,Male
29078,,,nm0362738,Rod Hardy,"Melbourne, Victoria, Australia",https://image.tmdb.org/t/p/originalNone,Male
9264,1957-01-01,,nm0590790,Sergio Mimica-Gezzan,Zagreb - Croatia - Yugoslavia,https://image.tmdb.org/t/p/original/5JSARSBOHvxkelxw8X6j4sRivoe.jpg,Male
587,1947-02-24,,nm0001579,Edward James Olmos,"Los Angeles, California, U.S.",https://image.tmdb.org/t/p/original/mXnilUrQBIMLHSQkPjQk99mX70x.jpg,Male
86293,2018-05-01,,nm0950001,Robert M. Young,"New York City, New York, USA",https://image.tmdb.org/t/p/original/iekSJ1eb9o0zvJqPwgEdx1ZfRsE.jpg,Male
66240,,,nm0941276,Jeff Woolnough,,https://image.tmdb.org/t/p/originalNone,Male
77211,1951-03-07,,nm0258066,Félix Enríquez Alcalá,"Bakersfield, California, USA",https://image.tmdb.org/t/p/original/rlnSbY7tueXmlyjI8St7ee1PniI.jpg,Male
1215364,1951-04-10,,nm0471862,Allan Kroeker,Winnipeg - Manitoba - Canada,https://image.tmdb.org/t/p/originalNone,Male
77086,1970-01-15,,nm0665321,Jonas Pate,"Raeford, North Carolina, USA",https://image.tmdb.org/t/p/originalNone,Male
1212587,,,nm0372138,James Head,,https://image.tmdb.org/t/p/originalNone,Male
21053,1956-01-01,,nm0001093,John Dahl,"Billings, Montana, USA",https://image.tmdb.org/t/p/original/8WDCi9LJ9Lc7z6BSwGiQqfkSx61.jpg,Male
36185,,,nm0211523,Jean de Segonzac,,https://image.tmdb.org/t/p/originalNone,Male
1402095,,,nm0250267,Paul A. Edwards,,https://image.tmdb.org/t/p/original/px41H7ZyuJK2I6rKRFjU400C0TJ.jpg,Male
25882,,,nm0877427,Brad Turner,"Bayfield, Ontario, Canada",https://image.tmdb.org/t/p/originalNone,Male
2385,1964-07-05,,nm0601822,Ronald D. Moore,"Chowchilla, California, USA",https://image.tmdb.org/t/p/original/6A086Blwpv0nuckrzPgvETlkfo1.jpg,Male
78992,,,nm0247123,Bill Eagles,United Kingdom,https://image.tmdb.org/t/p/original/broOQIHQULhzII6X9QlqHFHKzc6.jpg,Male
1215026,,,nm0333239,Marita Grabiak,"Ambridge, Pennsylvania, USA",https://image.tmdb.org/t/p/original/5GAgOPD6aIA7BS35Xq3mLkc6VkM.jpg,Female
1216419,,,nm0394586,Gwyneth Horder-Payton,,https://image.tmdb.org/t/p/originalNone,Female
1228448,,,,Rey Villalobos,,https://image.tmdb.org/t/p/originalNone,Not Specified
1216147,,,nm0376006,Anthony Hemingway,,https://image.tmdb.org/t/p/original/3npAesb4X5yvxPlUWRHTOFz9RCi.jpg,Male
111338,1960-05-07,,nm0002835,Adam Bernstein,"Princeton, New Jersey, USA",https://image.tmdb.org/t/p/original/jtU4MFHJ1KBbMj77yhJ4Od3tpIr.jpg,Male
1212287,1946-01-01,,nm0118778,Colin Bucksey,"Camberwell, London, England, UK",https://image.tmdb.org/t/p/originalNone,Male
52034,,,nm0806252,Michael Slovis,"New York City, New York, USA",https://image.tmdb.org/t/p/originalNone,Male
29779,1965-01-01,,nm0533713,Michelle MacLaren,,https://image.tmdb.org/t/p/originalNone,Female
1214396,,,nm0934525,Scott Winant,,https://image.tmdb.org/t/p/originalNone,Male
18320,,,nm0400486,Bronwen Hughes,,https://image.tmdb.org/t/p/originalNone,Female
15858,1947-06-15,,nm0006853,Tim Hunter,"Los Angeles, California, USA",https://image.tmdb.org/t/p/original/n03G1gCKqxpi6udwINygNiLoGdn.jpg,Male
205639,1962-01-01,,nm0570995,Jim McKay,"Englewood, New Jersey, USA",https://image.tmdb.org/t/p/original/hrrBk9T8Ds0UH9NKds1gkbJioTo.jpg,Male
1214445,,,nm0008971,Phil Abraham,,https://image.tmdb.org/t/p/originalNone,Male
21377,1937-12-23,,nm0575389,Peter Medak,"Budapest, Hungary",https://image.tmdb.org/t/p/original/oUPjJXMOSomwrqFx4eobxROVZOV.jpg,Male
