id,first_air_date,last_air_date,seasons,episodes,runtime,imdb_id,title,photo_url,genre,homepage,directors,writers
4589,2003-11-02,2019-03-15,5,84,22,,Arrested Development,https://image.tmdb.org/t/p/original/qMzwO952hMWQSCfHkp7IL20s4K7.jpg,Comedy,https://www.netflix.com/title/70140358,"58868,1220694,19272,116805,19271,1212922,52049,168442,84843,54733,107658,58316,41549,15042,23532,6884,1212911,56591,1212907","1220694,1230867,1232384,64746,1213124,1224136,68574,1237319,1213294,1224216,1498990,1351221,2697721,191236,1216561,1237322,51611,151217,2377754,1237321,99917,1229794"
246,2005-02-21,2008-07-19,3,61,25,,Avatar: The Last Airbender,https://image.tmdb.org/t/p/original/cHFZA8Tlv03nKTGXhLOYOLtqoSm.jpg,"Animation,Action & Adventure,Sci-Fi & Fantasy",http://www.nick.com/avatar-the-last-airbender/,"1450350,515867,204553,1214800,71538,89596,1214801,1636081,1190517,1412808","1190518,1190517,1190519,1252484,3006473,2331979,1224765,1412808,1246788,2067639,1636081,1267203,3006469,2774841,1254955,1214814,515867"
1972,2004-10-18,2009-03-20,4,73,44,,Battlestar Galactica,https://image.tmdb.org/t/p/original/99PJSbcO2LeM10uOGWeFihNp77j.jpg,"Sci-Fi & Fantasy,Action & Adventure,Drama",https://www.syfy.com/battlestar-galactica,"1376396,28741,1220833,44481,29078,9264,587,86293,66240,77211,1215364,77086,1212587,21053,36185,1402095,25882,2385,78992,1215026,1216419,1228448,1216147","1228463,1220834,1224367,1224368,2385,20249,77213,159823,1223889,936212,1218781,1214393,1228440,28741,1376396,1214390,1214391,1257450,1223971"
1396,2008-01-20,2013-09-29,5,62,45,,Breaking Bad,https://image.tmdb.org/t/p/original/ggFHVNu6YYI5L9pCfOacjizRGt.jpg,Drama,http://www.amc.com/shows/breaking-bad,"111338,1212287,52034,29779,1214396,18320,15858,205639,21053,1214445,77211,21377,66633,29924,67367,17419,1193575,212408,24951,1215145,69791,1223194,27571,1223193,103009","24951,1223198,103009,29924,66633,1223194,1223193,1218856,1223203,212407"
48891,2013-09-17,2021-09-16,8,152,21,,Brooklyn Nine-Nine,https://image.tmdb.org/t/p/original/hgRMSOt7a1b8qyQR68vUixJPang.jpg,"Comedy,Crime",https://www.nbc.com/brooklyn-nine-nine,"178926,1296522,1214860,1290146,57115,87673,1230199,154521,1220517,2182050,1320713,1739469,465763,1113994,1539690,1237540,1239766,1521301,2655962,1224235,1382733,213614,1226308,204222,114597,588044,59466,1212689,62854,168442,1306645,2062052,1061773,1697003,34453,107446,1219201,91610,62863,1212755,545262,173667,26467,84074,21131,968367,73499,1212609,939123,65506,1220767,78562,1236662,58868,1386543,63513,2040838,646785,142517,155267","1625230,1237540,164565,1230199,1304330,1215720,1697003,1718778,2431449,1386543,2305385,2305384,2299451,1535915,194772,1237529,1215424,2267561,1217071,2039030,1449097,1590313,1893099,1532801,1267201,2581788,2358431,1236857,1480595,2600533,2739099,1226308,1480594,2267560,2739097,2657321,1255543,1214873,1228687,3206487,3239230,1702083,1448117,2657296,1383271,1611882,2990890"
95,1997-03-10,2003-05-20,7,144,43,,Buffy the Vampire Slayer,https://image.tmdb.org/t/p/original/41jsOEYsh9lJBc6AZqGpR1ETpx5.jpg,"Sci-Fi & Fantasy,Comedy,Drama,Action & Adventure",http://www.foxhome.com/buffysplash/,"12891,104876,1222761,43954,1231299,149431,149619,87472,17272,149501,87590,1213071,33341,139086,149520,1213615,1215026,149495,1223735,58075,79317,1212609,108250,1270,58826,101771,45645,72445,1216736,43222,44131,1231379","12891,149495,77213,1213076,149520,1213071,1231186,87590,1379807,1212428,47506,1213074,1212431,1213075,1213079,1213078,1213080,1213077,1213081,20977,1217277,1215764,1231028,1221664"
79242,2018-10-26,2020-12-31,2,36,60,,Chilling Adventures of Sabrina,https://image.tmdb.org/t/p/original/56q7oUcw5jd32lMCo8U5CDkbYik.jpg,"Mystery,Sci-Fi & Fantasy,Drama",https://www.netflix.com/title/80223989,"1417895,66240,203159,113570,70777,109745,26087,207959,236592,1478650,1420294,56891,1033123,53918,240735","1098032,2282637,206820,2168288,1602086,2282638,2282640,2282643,2282641,2282639,231199"
18347,2009-09-17,2015-06-02,6,110,22,,Community,https://image.tmdb.org/t/p/original/3KUjDt8XY7w2Ku70UE0SECmv1zP.jpg,Comedy,http://www.nbc.com/community-show/,"1220517,19272,19271,57195,52049,160177,58189,161932,1346413,2624532,1397738,105648,57115,2624633,1254001,1308925,87673,2322079,1212755,59412,1215145,2624533,931286,98103,1212689,1019303,95024,204222,1941625,2624686,2624502,71600,1212911,1216147","1246890,57194,1346119,1228687,1230864,520674,1531428,1346407,1237529,1229794,1224239,1521292,1214640,1350906,1346413,2321132,1656577,1267201,194772,1237526,1350952,1218679,1361864,1215261,1365425,448309,1236604,1230869,1906865,1350918,1361859,1470103,1216648,1906864,1236116,1380505,3053624,1346442,3053621,1224479,1350940,1251186,1222719,969399,1383271,1224478,458014,1881712,1473645,161932,1229408"
84469,2021-11-19,,1,10,0,,Cowboy Bebop,https://image.tmdb.org/t/p/original/lSsCxZ1dnjcB4cmXSgMJt5qunOu.jpg,"Sci-Fi & Fantasy,Action & Adventure,Crime",https://www.netflix.com/title/80207033,1420294,109542
693,2004-10-03,2012-05-13,8,179,60,,Desperate Housewives,https://image.tmdb.org/t/p/original/bqPo6t7YF38QYwuuy3zJwmFWaYz.jpg,"Mystery,Drama,Comedy",http://abc.go.com/shows/desperate-housewives,"1212412,43954,15042,1212911,1214442,45642,1219584,121767,74065,163097,1214368,729,64140,108250,157771,1215063,1219592,1219594,1212689,41737,116370,33485,169288,64171","41697,1212130,1215069,1226278,1214535,131640,41698,1219613,1219614,1218666,1213617,1219568,1219569,1219567,1219566,1215986,1219572,1219605,1219577,1211962,1219589,1230330,70039,1218757,1216491,1218856,62365,1219575,1212579,1219209,1215978,1230400,1219085,1215382,1219562,1219611,1219593,1219609,1219591,1219580,1215818,1371443,1230337,168201,1215780,2218665,2941654"
