id,birthday,deathday,imdb_id,name,place_of_birth,photo_url,gender
5045,1946-09-30,2009-12-17,nm0639321,Dan O'Bannon,"St. Louis, Missouri, USA",https://image.tmdb.org/t/p/original/8mMG7L4XeZ21SAr4Dtkla5ZIinf.jpg,Male
5046,1935-06-01,,nm0795953,Ronald Shusett,"Pittsburgh, Pennsylvania, USA",https://image.tmdb.org/t/p/original/110MIPIAkTd1TjJy3Q4sdubF2mw.jpg,Male
1220694,,,nm0403804,Mitchell Hurwitz,,https://image.tmdb.org/t/p/original/uJXAEC6DZXpzuSwwyC496hvt4zR.jpg,Male
1230867,,,nm0271003,Barbie Adler,,https://image.tmdb.org/t/p/originalNone,Female
1232384,1954-08-30,,nm0885016,Jim Vallely,,https://image.tmdb.org/t/p/originalNone,Male
64746,1967-11-17,,nm0520893,Dean Lorey,,https://image.tmdb.org/t/p/originalNone,Male
1213124,,,nm0206556,Richard Day,,https://image.tmdb.org/t/p/originalNone,Male
1224136,1951-11-22,,nm0742711,Richard A. Rosenstock,,https://image.tmdb.org/t/p/originalNone,Male
68574,,,nm0178589,Brad Copeland,,https://image.tmdb.org/t/p/originalNone,Male
1237319,,,,Barbara Feldman,,https://image.tmdb.org/t/p/originalNone,Not Specified
1213294,,,nm0851234,Chuck Tatham,"Listowel, Ontario, Canada",https://image.tmdb.org/t/p/originalNone,Male
1224216,1969-12-14,,nm1545076,Abraham Higginbotham,"Los Angeles, California, USA",https://image.tmdb.org/t/p/original/9RtTQjuzrSD4bGUfqHm9LGyepP7.jpg,Male
1498990,,,nm0721725,Gareth Reynolds,,https://image.tmdb.org/t/p/originalNone,Male
1351221,,,nm1049335,Caroline Goddard,,https://image.tmdb.org/t/p/originalNone,Female
2697721,,,,Hallie Cantor,,https://image.tmdb.org/t/p/originalNone,Not Specified
191236,,,nm1307539,Evan Mann,,https://image.tmdb.org/t/p/originalNone,Male
1216561,,,nm0918272,Ron Weiner,,https://image.tmdb.org/t/p/originalNone,Male
1237322,1978-10-18,,nm1003810,Jake Farrow,USA,https://image.tmdb.org/t/p/originalNone,Male
51611,,,nm1706644,Chris Marrs,,https://image.tmdb.org/t/p/original/6FIYZrqyXLwmfry6yPYAG5u0rZC.jpg,Not Specified
151217,,,nm1770543,Maggie Rowe,,https://image.tmdb.org/t/p/originalNone,Female
2377754,,,,Jim Brandon,,https://image.tmdb.org/t/p/originalNone,Not Specified
1237321,,,,Barbara Adler,,https://image.tmdb.org/t/p/originalNone,Not Specified
99917,,,nm1261557,Brian Singleton,,https://image.tmdb.org/t/p/originalNone,Not Specified
1229794,,,nm1058228,Karey Dornetto,,https://image.tmdb.org/t/p/originalNone,Not Specified
1190518,1975-06-01,,nm1665983,Bryan Konietzko,  United States,https://image.tmdb.org/t/p/original/5lPnGvtATjmPakR96dqPW3v4u8q.jpg,Male
1190517,1974-07-18,,nm0227204,Michael Dante DiMartino,  United States,https://image.tmdb.org/t/p/original/8ey06cRWYe5TlKl5tyYQf57kknw.jpg,Male
1190519,1973-06-16,,nm1132209,Aaron Ehasz,,https://image.tmdb.org/t/p/original/7utBZe9bjQ3OI3QOHiy62CtIhAF.jpg,Male
1252484,,,nm0373388,Tim Hedrick,,https://image.tmdb.org/t/p/original/gKHFk1VAe8lyYCpwcizdYWU8HWK.jpg,Not Specified
3006473,,,,Elizabeth Welch Ehasz,,https://image.tmdb.org/t/p/originalNone,Not Specified
2331979,,,,Joshua Hamilton,,https://image.tmdb.org/t/p/original/2pNnjGA47u6PctFOkiggGpySXkr.jpg,Not Specified
1224765,,,nm1863572,Matt Hubbard,,https://image.tmdb.org/t/p/originalNone,Male
1412808,,,nm6177345,Chris Graham,,https://image.tmdb.org/t/p/originalNone,Not Specified
1246788,,,,Nick Malis,,https://image.tmdb.org/t/p/originalNone,Not Specified
2067639,,,,May Chan,,https://image.tmdb.org/t/p/original/4ddhKvd13SoI8Gr5rcwZtmvbUi9.jpg,Not Specified
1636081,,,,Kenji Ono,,https://image.tmdb.org/t/p/originalNone,Not Specified
1267203,,,nm0247063,James Eagan,,https://image.tmdb.org/t/p/original/sqhYQoYn7fp4oFbebyyY9rpmOvz.jpg,Male
3006469,,,,Ian Wilcox,,https://image.tmdb.org/t/p/originalNone,Not Specified
2774841,,,,Katie Mattila,,https://image.tmdb.org/t/p/originalNone,Not Specified
1254955,1968-05-28,,nm1348661,Joann Estoesta,,https://image.tmdb.org/t/p/originalNone,Female
1214814,,,nm1503357,John O'Bryan,,https://image.tmdb.org/t/p/originalNone,Male
515867,1974-07-31,,nm2083477,Giancarlo Volpe,"Tacoma, Washington, U.S.A",https://image.tmdb.org/t/p/original/2tFWObLUHwN4G7WfARkuJGFa8Pm.jpg,Male
1228463,,,,Carla Robinson,,https://image.tmdb.org/t/p/originalNone,Not Specified
1220834,,,nm0852899,Michael Taylor,,https://image.tmdb.org/t/p/originalNone,Male
1224367,,,nm0917131,David Weddle,,https://image.tmdb.org/t/p/originalNone,Male
1224368,,,nm0859918,Bradley Thompson,,https://image.tmdb.org/t/p/original/fPmUc6wo6Ap9HT2yZ9EQf0E42Jf.jpg,Male
2385,1964-07-05,,nm0601822,Ronald D. Moore,"Chowchilla, California, USA",https://image.tmdb.org/t/p/original/6A086Blwpv0nuckrzPgvETlkfo1.jpg,Male
20249,,,nm0894156,Mark Verheiden,,https://image.tmdb.org/t/p/original/A4Q4oKmjl2v3P4FqBY29cfSEzvz.jpg,Male
77213,1964-07-14,,nm0260870,Jane Espenson,Ames - Iowa - USA,https://image.tmdb.org/t/p/originalNone,Female
159823,,,nm0029556,Michael Angeli,,https://image.tmdb.org/t/p/originalNone,Male
1223889,,,nm1093194,Anne Cofell Saunders,,https://image.tmdb.org/t/p/originalNone,Female
936212,1968-10-26,,nm0251594,David Eick,,https://image.tmdb.org/t/p/originalNone,Male
1218781,,,,Jeff Vlaming,,https://image.tmdb.org/t/p/originalNone,Not Specified
1214393,,,nm0335791,Toni Graphia,,https://image.tmdb.org/t/p/originalNone,Female
1228440,,,nm0732444,Carla Robinson,,https://image.tmdb.org/t/p/originalNone,Not Specified
28741,1963-03-01,,nm0753382,Michael Rymer,"	Melbourne, Australia",https://image.tmdb.org/t/p/originalNone,Male
1376396,,,,Ryan Mottesheard,,https://image.tmdb.org/t/p/originalNone,Not Specified
1214390,,,nm0696518,Dawn Prestwich,,https://image.tmdb.org/t/p/originalNone,Female
1214391,,,nm0948820,Nicole Yorkin,,https://image.tmdb.org/t/p/originalNone,Female
1257450,,,,Seamus Kevin Fahey,,https://image.tmdb.org/t/p/originalNone,Male
1223971,,,,Joel Anderson Thompson,,https://image.tmdb.org/t/p/originalNone,Not Specified
24951,,,nm0332467,Peter Gould,,https://image.tmdb.org/t/p/original/il6NSy05UnO7SV9SgzEqKHXioNl.jpg,Male
